shortnam,avexpr,logem4
AGO,5.3636365,5.6347895
ARG,6.3863635,4.232656
AUS,9.318182,2.1459312
BFA,4.4545455,5.6347895
BGD,5.1363635,4.268438
BHS,7.5,4.4426513
BOL,5.6363635,4.26268
BRA,7.909091,4.26268
CAN,9.727273,2.7788193
CHL,7.818182,4.232656
CIV,7.0,6.504288
CMR,6.4545455,5.6347895
COG,4.681818,5.480639
COL,7.318182,4.26268
CRI,7.0454545,4.3579903
DOM,6.181818,4.8675346
DZA,6.5,4.3592696
ECU,6.5454545,4.26268
EGY,6.7727275,4.2165623
ETH,5.7272725,3.2580965
GAB,7.818182,5.6347895
GHA,6.2727275,6.504288
GIN,6.5454545,6.1800165
GMB,8.272727,7.293018
GTM,5.1363635,4.26268
GUY,5.8863635,3.4713452
HKG,8.136364,2.7013612
HND,5.318182,4.3579903
HTI,3.7272727,4.8675346
IDN,7.590909,5.1357985
IND,8.272727,3.8842406
JAM,7.090909,4.8675346
KEN,6.0454545,4.9767337
LKA,6.0454545,4.245634
MAR,7.090909,4.3592696
MDG,4.4545455,6.284209
MEX,7.5,4.26268
MLI,4.0,7.986165
MLT,7.2272725,2.791165
MYS,7.9545455,2.8735647
NER,5.0,5.9914646
NGA,5.5454545,7.6029005
NIC,5.2272725,5.095589
NZL,9.727273,2.1459312
PAK,6.0454545,3.6106477
PAN,5.909091,5.095589
PER,5.7727275,4.26268
PRY,6.9545455,4.3579903
SDN,4.0,4.479607
SEN,6.0,5.103883
SGP,9.318182,2.8735647
SLE,5.818182,6.1800165
SLV,5.0,4.3579903
TGO,6.909091,6.504288
TTO,7.4545455,4.4426513
TUN,6.4545455,4.1431346
TZA,6.6363635,5.6347895
UGA,4.4545455,5.6347895
URY,7.0,4.26268
USA,10.0,2.7080503
VEN,7.1363635,4.3579903
VNM,6.409091,4.9416423
ZAF,6.8636365,2.74084
ZAR,3.5,5.480639
