country,shortnam,colonizer,religion,protestant,independence_year,latitude,avexpr,logem4,logpgp95_ajr,euro1900,polity2_2015,edu_1900_cohort_lsec,edu_1925_cohort_lsec,edu_1900_cohort_primary,edu_1925_cohort_primary,edu_1950,edu_1975,edu_2000,edu_2020,edu_female_1950,edu_female_1975,primary_1950,log_gdp_1960,log_gdp_2020,le_1960,le_1975,le_2020,tfr_1960,tfr_1975,tfr_2020,u5mr_1960,u5mr_2020,crossing_year,edu_at_cross
Algeria,DZA,France,catholic,0,1962,28.0,6.5,4.359269618988037,8.389359474182129,13.0,2.0,0.0,0.02,0.0,0.11,1.42,27.63,74.2,83.91,0.34,15.74,3.56,7.778387371520769,8.381072240320343,40.839,46.921,73.257,7.503,7.485,2.94,243.0,,1999.0,71.664
Angola,AGO,Portugal,catholic,0,1975,-12.5,5.363636493682861,5.63478946685791,7.7706451416015625,8.0,-2.0,0.01,0.07,0.1,0.74,0.89,6.29,13.12,41.12,0.5,2.39,5.37,,7.960030902189811,37.933,40.817,63.116,6.708,7.494,5.371,308.0,,,
Argentina,ARG,Spain,catholic,0,1816,-38.4,6.386363506317139,4.232656002044678,9.133459091186523,60.000003814697266,9.0,4.82,8.33,24.32,41.54,15.12,40.81,61.69,101.02,14.21,43.57,59.17,8.908844615731065,9.340758851660782,64.242,66.965,75.878,3.136,3.271,1.601,73.3,,1985.0,50.37
Australia,AUS,Britain,protestant,1,1901,-25.3,9.318181991577148,2.1459312438964844,9.897972106933594,98.0,10.0,3.14,19.14,36.39,75.72,60.13,92.99,98.49,127.19,57.47,92.61,94.7,9.901336166964898,10.97469039516685,70.817073,72.625366,83.2,3.453,2.148,1.581,24.9,,1960.0,76.26
Bahamas,BHS,Britain,protestant,1,1973,25.0,7.5,4.442651271820068,9.28544807434082,10.0,,0.53,7.0,4.95,25.75,36.16,83.12,96.59,99.33,34.59,84.27,64.65,9.840475851082608,10.118263008599977,62.454,68.14,72.994,5.093,3.424,1.386,35.6,,1983.0,92.718
Bangladesh,BGD,Britain,protestant,1,1971,23.7,5.136363506317139,4.26843786239624,6.877295970916748,0.0,1.0,1.16,3.12,5.02,9.58,7.3,16.32,31.46,61.93,1.45,7.24,16.77,6.062385860288731,7.3806708662348335,43.98,50.627,71.421,6.742,6.728,2.175,260.0,,2014.0,51.002
Bolivia (Plurinational State of),BOL,Spain,catholic,0,1825,-16.3,5.636363506317139,4.2626800537109375,7.926602363586426,30.000001907348633,7.0,0.76,5.21,3.37,10.47,17.72,35.35,63.95,108.8,13.98,29.47,26.32,7.152242052227745,7.924829446124786,43.338,49.336,62.906,6.273,5.748,2.651,291.0,,,
Brazil,BRA,Portugal,catholic,0,1822,-10.0,7.909090995788574,4.2626800537109375,8.72745418548584,40.0,8.0,1.55,5.59,12.07,22.59,14.14,38.11,63.77,90.7,14.37,38.73,34.85,7.864619159440966,9.040146235287539,53.162,59.556,74.506,6.051,4.415,1.653,169.0,,2001.0,64.97
Burkina Faso,BFA,France,catholic,0,1960,12.2,4.454545497894287,5.63478946685791,6.845880031585693,0.0,6.0,0.0,0.01,0.0,0.05,0.38,3.71,10.83,13.86,0.13,1.75,0.75,5.4978534740631835,6.57066189869113,36.074,42.486,60.454,6.248,6.913,4.44,343.0,,,
Cameroon,CMR,France,catholic,0,1960,7.4,6.454545497894287,5.63478946685791,7.501081943511963,0.0,-5.0,0.06,0.5,1.96,6.52,2.9,15.58,36.4,59.39,1.75,8.73,17.95,6.841294864189529,7.268584975869207,34.667,49.891,61.674,5.725,6.401,4.557,276.0,,,
