country,region,in_ajr64,colonizer,religion,ever_colonized,protestant,catholic,edu_1900_cohort_lsec,edu_1925_cohort_lsec,edu_1950,edu_1975,edu_2000,edu_2020,edu_female_1950,primary_1950,log_gdp_1960,log_gdp_2020,le_1960,le_2020,tfr_1960,tfr_2020,u5mr_1960,u5mr_2015,polity2_avg_1980_2010,polity2_avg_1995_2010,polity2_2015,crossing_year,edu_at_cross
Afghanistan,South Asia,False,,muslim,False,0,0,0.0,0.0,0.34,6.31,8.91,30.58,0.17,3.45,,6.268782889906585,32.799,61.454,7.282,5.145,357.0,70.4,-4.916666666666667,-5.833333333333333,-1.0,,
Albania,Europe & Central Asia,False,,muslim,False,0,0,0.0,0.1,21.38,88.62,95.01,99.06,12.37,59.72,,8.513309056922713,56.413,77.824,6.383,1.371,188.0,9.6,1.096774193548387,6.5625,9.0,1980.0,94.27
Algeria,Middle East & North Africa,True,France,catholic,True,0,1,0.0,0.02,1.42,27.63,74.2,83.91,0.34,3.56,7.778387371520769,8.381072240320343,40.839,73.257,7.503,2.94,243.0,24.9,-3.903225806451613,-0.8125,2.0,1999.0,71.664
Angola,Sub-Saharan Africa,True,Portugal,catholic,True,0,1,0.01,0.07,0.89,6.29,13.12,41.12,0.5,5.37,,7.960030902189811,37.933,63.116,6.708,5.371,308.0,88.1,-4.483870967741935,-3.4375,-2.0,,
Argentina,Latin America & Caribbean,True,Spain,catholic,True,0,1,4.82,8.33,15.12,40.81,61.69,101.02,14.21,59.17,8.908844615731065,9.340758851660782,64.242,75.878,3.136,1.601,73.3,11.5,6.096774193548387,7.75,9.0,1985.0,50.37
Armenia,Europe & Central Asia,False,,orthodox,False,0,0,0.0,0.42,58.47,98.68,99.04,99.22,56.55,91.19,,8.302040238815147,59.063,73.37561,4.786,1.7,113.0,14.4,3.9,3.375,5.0,1999.0,99.06
Aruba,Other,False,,unknown,False,0,0,0.13,1.55,18.61,56.43,73.57,82.86,11.97,45.41,,10.03143606681283,64.049,75.406,4.567,1.662,,,,,,1976.0,57.62800000000001
Australia,East Asia & Pacific,True,Britain,protestant,True,1,0,3.14,19.14,60.13,92.99,98.49,127.19,57.47,94.7,9.901336166964898,10.97469039516685,70.817073,83.2,3.453,1.581,24.9,3.87,10.0,10.0,10.0,1960.0,76.26
Austria,Europe & Central Asia,False,,catholic,False,0,1,37.13,48.93,61.91,92.84,98.02,128.99,54.44,99.96,9.383851911955052,10.678875753032724,68.58561,81.192683,2.69,1.44,42.8,3.71,10.0,10.0,10.0,1964.0,81.296
Azerbaijan,Europe & Central Asia,False,,muslim,False,0,0,1.04,18.26,67.69,97.44,99.37,99.52,60.39,89.16,,8.534541874566575,50.862,70.312,5.878,1.7,140.0,26.3,-5.85,-6.8125,-7.0,2009.0,99.34
