country,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950
Sweden,47.67,48.83,50.44,54.01,52.23,54.42,57.74,57.1,58.91,62.51,63.17,64.86,66.74,68.33,71.14
Norway,51.89,51.04,48.61,52.79,53.47,55.09,57.98,58.16,58.85,62.51,64.1,65.84,65.88,68.19,71.59
Denmark,44.79,49.62,47.27,50.86,51.9,54.37,58.04,58.4,57.71,61.91,62.22,62.88,66.27,66.08,70.31
Iceland,42.41,45.64,36.76,52.37,46.59,49.45,52.64,53.52,54.63,58.22,60.18,59.49,65.77,67.55,71.03
Finland,39.7,41.28,44.61,47.61,41.81,46.05,48.49,49.56,47.68,53.36,54.45,57.36,46.8,56.81,64.2
England and Wales,43.73,45.72,44.72,45.69,46.3,50.83,53.95,48.3,56.52,58.85,61.29,62.51,60.59,61.86,68.96
Scotland,43.89,45.66,44.48,45.1,46.43,49.71,51.29,48.92,53.96,56.32,57.54,59.34,58.52,63.03,66.21
Netherlands,40.41,43.28,44.42,46.73,48.48,52.1,55.14,57.24,57.98,63.12,64.66,66.51,65.4,55.58,71.44
Belgium,42.49,45.47,44.14,45.48,46.69,50.03,51.31,51.38666666666667,54.01,57.12,57.1,59.94,55.96,58.32,66.3
France,42.79,43.94,43.43,45.26,45.1,48.38,51.35,36.55,51.82,54.35,56.8,58.28,49.6,54.93,66.38
Switzerland,42.47,43.92,45.01,46.93,47.59,49.69,52.93,55.91,54.5,59.91,61.4,62.13,63.54,65.38,68.91
Italy,32.82,36.92,38.58,39.69,41.85,43.99,46.72,42.63,45.82,51.28,55.17,56.2,56.95,54.86,65.72
Spain,,,,,,,40.84,43.09,39.38,46.98,49.25,52.65,48.63,57.79,61.78
Germany,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,64.81
Hungary,,,,,,,,,,,,,,,62.14
United States,,,,,,,,,,,,60.91,63.22,65.59,68.06
Canada,,,,,,,,,,59.26,58.96,62.4,63.91,66.26,68.21
Australia,,,,,,,,,,63.17,64.9,65.05,66.16,68.38,69.0
New Zealand,,,,,,,,,,,,,,,69.25
Japan,,,,,,,,,,,,,,,59.23
