Austria, Life tables (period 1x1), Total	Last modified: 12 Dec 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0      0.08989  0.08461  0.31  100000    8461   94125  6153987  61.54
  1947           1      0.00753  0.00750  0.50   91539     687   91196  6059862  66.20
  1947           2      0.00447  0.00446  0.50   90853     406   90650  5968666  65.70
  1947           3      0.00339  0.00338  0.50   90447     306   90294  5878017  64.99
  1947           4      0.00253  0.00253  0.50   90141     228   90027  5787723  64.21
  1947           5      0.00184  0.00184  0.50   89913     166   89830  5697695  63.37
  1947           6      0.00142  0.00142  0.50   89748     127   89684  5607865  62.48
  1947           7      0.00151  0.00151  0.50   89620     135   89553  5518181  61.57
  1947           8      0.00132  0.00132  0.50   89485     118   89426  5428628  60.66
  1947           9      0.00092  0.00092  0.50   89367      82   89326  5339202  59.74
  1947          10      0.00125  0.00125  0.50   89285     112   89229  5249876  58.80
  1947          11      0.00131  0.00130  0.50   89173     116   89115  5160647  57.87
  1947          12      0.00098  0.00098  0.50   89057      88   89013  5071531  56.95
  1947          13      0.00113  0.00113  0.50   88969     101   88919  4982518  56.00
  1947          14      0.00131  0.00130  0.50   88869     116   88811  4893599  55.07
  1947          15      0.00151  0.00151  0.50   88753     134   88686  4804788  54.14
  1947          16      0.00163  0.00163  0.50   88619     144   88547  4716102  53.22
  1947          17      0.00209  0.00209  0.50   88475     185   88382  4627555  52.30
  1947          18      0.00212  0.00212  0.50   88290     187   88196  4539173  51.41
  1947          19      0.00262  0.00261  0.50   88103     230   87987  4450977  50.52
  1947          20      0.00288  0.00288  0.50   87872     253   87746  4362989  49.65
  1947          21      0.00297  0.00297  0.50   87619     260   87489  4275243  48.79
  1947          22      0.00302  0.00301  0.50   87359     263   87228  4187754  47.94
  1947          23      0.00294  0.00294  0.50   87096     256   86968  4100526  47.08
  1947          24      0.00306  0.00305  0.50   86840     265   86708  4013558  46.22
  1947          25      0.00269  0.00269  0.50   86575     233   86459  3926850  45.36
  1947          26      0.00307  0.00307  0.50   86343     265   86210  3840391  44.48
  1947          27      0.00301  0.00300  0.50   86078     259   85948  3754181  43.61
  1947          28      0.00263  0.00263  0.50   85819     226   85706  3668233  42.74
  1947          29      0.00255  0.00254  0.50   85593     218   85484  3582527  41.86
  1947          30      0.00332  0.00332  0.50   85376     283   85234  3497042  40.96
  1947          31      0.00300  0.00300  0.50   85092     255   84965  3411808  40.10
  1947          32      0.00336  0.00336  0.50   84838     285   84695  3326843  39.21
  1947          33      0.00305  0.00305  0.50   84553     258   84424  3242148  38.34
  1947          34      0.00355  0.00355  0.50   84295     299   84145  3157724  37.46
  1947          35      0.00311  0.00310  0.50   83996     260   83866  3073579  36.59
  1947          36      0.00357  0.00356  0.50   83735     298   83586  2989714  35.70
  1947          37      0.00372  0.00371  0.50   83437     310   83282  2906127  34.83
  1947          38      0.00429  0.00428  0.50   83127     356   82950  2822845  33.96
  1947          39      0.00416  0.00415  0.50   82772     344   82600  2739895  33.10
  1947          40      0.00455  0.00454  0.50   82428     374   82241  2657296  32.24
  1947          41      0.00445  0.00444  0.50   82054     365   81872  2575055  31.38
  1947          42      0.00483  0.00482  0.50   81690     394   81493  2493183  30.52
  1947          43      0.00491  0.00490  0.50   81296     398   81096  2411690  29.67
