country,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950
Sweden,203.878382710035,196.11862335791906,178.33287387852204,147.2926560706589,155.6671837789114,132.49213112807323,109.0429972115663,105.6196454576106,96.18330826569044,73.62628327886489,69.63133500747088,58.25078580426235,46.838711963262284,38.296571270135196,25.50436703765002
Norway,152.80926173489252,160.00951174192545,178.09137804146891,148.71502336628305,133.70901362737163,117.54552823927389,93.86721079984962,90.63673641564007,87.51739336035635,65.01392160790954,59.624591290075024,54.831691244539684,49.32985059477735,49.5526740966995,34.07700801967361
Denmark,232.0896330291855,176.95164054660017,205.99848133228593,184.58216567964791,164.16141795544092,150.93173199413923,122.61972608256444,113.24608710157158,117.44288161630467,95.10145961894511,94.93538968059656,87.6517530183567,58.90972646941917,58.54510883263742,35.73329659418345
Iceland,267.58365449443477,226.24698223618512,336.94202295322685,170.42044808460065,168.5754944704161,147.80955044685194,141.8959654518971,101.46205178454792,133.7094243402569,68.07659429945734,64.41593826554526,98.52170896557311,50.15605018708036,44.177739134955154,27.403831125044633
Finland,287.4216468184542,288.22945474299246,238.39860493216736,203.0073215702295,269.4130541633027,215.9992756189757,191.91219381098225,167.3446143770254,178.38708587186701,122.46492897711114,106.61792087193378,94.67673183819359,110.2455341292139,104.59487783698862,50.884951801115186
England and Wales,252.18787197672432,219.67102369055524,232.7490814517752,237.5806105511409,225.89932047654858,186.31477242697136,156.39825883126633,166.45866652434117,134.62120880405394,109.92087912141757,86.29884047219416,76.56496102737876,73.15313574058902,53.99019670750205,34.34228391049465
Scotland,228.89326471676253,206.17941574877608,226.30548992137022,218.41240830708318,204.1606643924465,182.01148714162773,172.3063049603747,196.61208883192504,152.1026305676807,132.34622081223623,120.411428960574,101.06186306467025,100.6786867178694,65.8465388564955,45.001146160321134
Netherlands,313.6433819625234,270.51887749788386,258.6901284784592,242.7557096611457,219.805374267971,190.33394493445277,161.22772894563587,134.8557667804946,121.42244779990196,82.13398670586425,70.93500874183655,52.617897979873376,52.106693533456095,100.97472285252573,32.67870325104949
Belgium,274.509338373907,230.52124389433314,256.23587282134844,246.38332043076306,232.855404701239,201.5638794194581,194.6172632371004,184.51893011209643,155.02487858135748,129.86994126323881,130.05923987512148,103.42880208310912,105.98471474407289,119.2960087101772,59.939119620093464
France,255.90806194697,240.76103242683055,249.49661257617416,227.69593132802024,224.07558894475298,190.38191041007778,160.41290803413855,161.76007228915225,164.501115330282,127.95741142181471,110.48974244351784,92.7759972226475,114.55967555099467,136.89253110778608,59.91291379305519
Switzerland,252.0809708615125,229.1749398783498,207.02918758774769,201.8689984846316,195.1962421337653,169.00594562448256,140.233823234166,113.27800646746743,118.91287132096784,77.50406438664336,67.63058293424828,62.752028453729295,62.309407032918095,51.83975997127044,38.24020283033525
Italy,384.77668761145077,354.8900152059524,331.3858678574393,320.7012700425162,293.1195300872255,272.2085446458956,243.86212737045454,243.85707304174764,238.48015734289817,192.65514616045377,166.29475050182606,150.89662268817193,142.3271757619152,141.98340694789223,81.25516285424351
Spain,,,,,,,300.6492884723505,268.87269966900595,312.91952733383374,226.70144092731383,216.95858843114314,173.06219909936004,206.5307699978579,128.04361433271183,100.9168841511786
Germany,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,76.08679001134655
Hungary,,,,,,,,,,,,,,,98.58159910990427
United States,,,,,,,,,,,,76.01158632634986,62.614817178503365,48.576119631315585,36.98642769236138
Canada,,,,,,,,,,122.93683470943284,124.45038245379769,92.67391830772486,79.01775024381618,61.914589577111045,49.04449817388379
Australia,,,,,,,,,,70.30872598778548,64.58957729639236,54.251256075690925,50.51046020630512,38.0263406435527,31.029098894558736
New Zealand,,,,,,,,,,,,,,,34.63654903826552
Japan,,,,,,,,,,,,,,,89.66775389592208
