country,population_thousands
afghanistan,33360.6
africa,1185462.9
albania,2883.1
algeria,39146.4
angola,27624.2
argentina,43042.6
armenia,2885.0
aruba,103.9
asia,4437208.1
australia,23641.3
australia and new zealand,28193.0
austria,8584.1
azerbaijan,9803.8
bahamas,391.1
bahrain,1339.0
bangladesh,156915.5
belarus,9695.9
belgium,11214.1
belize,355.9
benin,10770.9
bhutan,739.5
bolivia (plurinational state of),11002.9
bosnia and herzegovina,3546.6
botswana,2282.0
brazil,204335.2
bulgaria,7340.9
burkina faso,18441.8
burundi,10666.9
cambodia,15316.2
cameroon,22662.1
canada,35561.4
cape verde,548.2
caribbean,42631.1
central african republic,4781.2
central america,166166.2
central asia,68411.3
chad,13932.8
chile,17778.7
china,1389795.2
colombia,46895.4
comoros,722.0
congo,5004.2
costa rica,4869.8
cote d'ivoire,23291.4
croatia,4270.5
cuba,11336.4
curaçao,168.6
cyprus,1181.9
czech republic,10520.8
democratic people's republic of korea,25191.0
democratic republic of the congo,77325.5
denmark,5662.7
dominican republic,10344.2
eastern africa,388060.9
eastern asia,1627529.2
eastern europe,294170.3
ecuador,16075.3
egypt,96675.6
el salvador,6221.9
equatorial guinea,1321.1
estonia,1313.3
ethiopia,101096.6
europe,741540.1
fiji,916.6
finland,5471.5
france,63714.9
french guiana,253.3
french polynesia,290.8
gabon,1998.4
gambia,2220.4
georgia,3771.5
germany,81967.1
ghana,28531.7
greece,10836.5
guadeloupe,398.7
guatemala,15857.9
guinea,11475.0
guinea-bissau,1765.8
guyana,753.7
haiti,10487.7
honduras,9212.0
hong kong special administrative region of china,7378.8
hungary,9856.6
iceland,329.0
india,1315102.6
indonesia,257687.2
iran (islamic republic of),80882.7
iraq,37264.3
ireland,4642.0
israel,7933.7
italy,60298.4
jamaica,2788.9
japan,127367.5
jordan,9150.5
kazakhstan,17715.3
kenya,46346.1
kiribati,115.5
kuwait,3750.2
kyrgyzstan,5864.1
lao people's democratic republic,6736.7
latin america and the caribbean,619929.8
latvia,2000.4
lebanon,6466.0
lesotho,2105.6
liberia,4562.8
lithuania,2978.9
luxembourg,562.1
macao special administrative region of china,609.9
madagascar,24531.1
malawi,16707.1
malaysia,30841.6
maldives,425.9
mali,17827.7
malta,450.7
martinique,384.7
mauritius,1293.3
melanesia,10650.8
mexico,119472.8
micronesia,523.1
micronesia (federated states of),109.1
middle africa,154848.9
mongolia,2932.6
montenegro,634.0
morocco,34467.5
mozambique,26434.6
myanmar,51280.5
namibia,2262.7
nepal,27517.6
netherlands,16999.1
new caledonia,282.2
new zealand,4551.6
nicaragua,6253.2
niger,19739.2
nigeria,181702.5
northern africa,226000.5
northern america,359036.0
northern europe,102667.1
norway,5166.0
occupied palestinian territory,4430.0
oceania,40063.1
oman,4084.6
pakistan,209658.5
panama,3922.8
paraguay,6133.4
peru,30520.7
philippines,102126.0
poland,38573.8
polynesia,696.1
portugal,10382.6
puerto rico,3529.5
qatar,2314.3
republic of korea,50787.9
republic of moldova,3305.6
reunion,919.7
romania,19959.5
russian federation,144441.8
rwanda,11504.3
saint lucia,174.7
saint vincent and the grenadines,106.1
samoa,201.3
sao tome and principe,199.3
saudi arabia,32441.1
senegal,14161.800000000001
serbia,7533.6
sierra leone,7227.7
singapore,5615.4
slovakia,5421.3
slovenia,2076.1
solomon islands,605.1
somalia,13537.5
south africa,55219.5
south america,411131.2
south sudan,11131.7
south-eastern asia,633078.5
southern africa,63001.5
southern asia,1845895.1
southern europe,153348.1
spain,46432.9
sri lanka,21290.2
sudan,37585.7
suriname,572.3
swaziland,1129.9
sweden,9797.9
switzerland,8236.3
syrian arab republic,19492.3
taiwan province of china,23467.2
tajikistan,8423.4
thailand,70142.3
the former yugoslav republic of macedonia,2106.8
timor-leste,1195.5
togo,7379.7
tonga,105.4
trinidad and tobago,1454.8
tunisia,11493.4
turkey,78966.8
turkmenistan,5714.5
uganda,36893.2
ukraine,45050.0
united arab emirates,8876.8
united kingdom of great britain and northern ireland,65008.3
united republic of tanzania,51608.6
united states of america,323348.5
uruguay,3397.4
vanuatu,273.6
venezuela (bolivarian republic of),30367.0
viet nam,91717.0
western africa,353551.5
western asia,262293.9
western europe,191355.2
world,7383240.0
yemen,28138.9
zambia,15991.0
zimbabwe,14005.7
